SISTEMA,OWNER,TABLE_NAME,NUM_ROWS,NUM_ROWS_STR,text,bubble_size
IMRC,TROYA,DMRS_MODEL_SUBVIEWS,0.0,0.00,Sistema: IMRC<br>Tabla:  DMRS_MODEL_SUBVIEWS<br>Numero de registro: 0.00<br>,20.0
SIRAC,SIRAC,MG_FORMA_PAGOS_DESEMBOLSO,2212.0,"2,212.00","Sistema: SIRAC<br>Tabla:  MG_FORMA_PAGOS_DESEMBOLSO<br>Numero de registro: 2,212.00<br>",67.03190406521938
MECA,MECA,CG_FORM_HELP,16.0,16.00,Sistema: MECA<br>Tabla:  CG_FORM_HELP<br>Numero de registro: 16.00<br>,24.0
FFON,FLUFON,KJA_M_MOVIMIENTO,634199.0,"634,199.00","Sistema: FFON<br>Tabla:  KJA_M_MOVIMIENTO<br>Numero de registro: 634,199.00<br>",816.3661218309077
SIRAC,SIRAC,MG_AGENCIAS_CORRESPONSALES,0.0,0.00,Sistema: SIRAC<br>Tabla:  MG_AGENCIAS_CORRESPONSALES<br>Numero de registro: 0.00<br>,20.0
IMRC,TROYA,T_SIDR_INDIV,0.0,0.00,Sistema: IMRC<br>Tabla:  T_SIDR_INDIV<br>Numero de registro: 0.00<br>,20.0
IMRC,TROYA,GRADO_RIESGO,9.0,9.00,Sistema: IMRC<br>Tabla:  GRADO_RIESGO<br>Numero de registro: 9.00<br>,23.0
MDC,MDC,SARF_CAUSARECHAZO,12.0,12.00,Sistema: MDC<br>Tabla:  SARF_CAUSARECHAZO<br>Numero de registro: 12.00<br>,23.464101615137753
SISEC,SISEC,SISEC_TIPOS_CONFINAN,8.0,8.00,Sistema: SISEC<br>Tabla:  SISEC_TIPOS_CONFINAN<br>Numero de registro: 8.00<br>,22.82842712474619
SIRAC,SIRAC,PR_SALDOS_PLAN_PAGO_APLICAR,0.0,0.00,Sistema: SIRAC<br>Tabla:  PR_SALDOS_PLAN_PAGO_APLICAR<br>Numero de registro: 0.00<br>,20.0
SIRAC,SIRAC,MG_DEPARTAMENTOS,60.0,60.00,Sistema: SIRAC<br>Tabla:  MG_DEPARTAMENTOS<br>Numero de registro: 60.00<br>,27.745966692414832
SISEC,SISEC,DMRS_RAGGED_HIER_LINK_ATTRS,0.0,0.00,Sistema: SISEC<br>Tabla:  DMRS_RAGGED_HIER_LINK_ATTRS<br>Numero de registro: 0.00<br>,20.0
SIRAC,SIRAC,CG_ESTADISTICAS_COMISION,0.0,0.00,Sistema: SIRAC<br>Tabla:  CG_ESTADISTICAS_COMISION<br>Numero de registro: 0.00<br>,20.0
MECA,MECA,MECA_POSTURAS_PORTAFOLIOS,109529.0,"109,529.00","Sistema: MECA<br>Tabla:  MECA_POSTURAS_PORTAFOLIOS<br>Numero de registro: 109,529.00<br>",350.9516581013003
SISEC,SISEC,DMRS_DIMENSION_LEVELS,0.0,0.00,Sistema: SISEC<br>Tabla:  DMRS_DIMENSION_LEVELS<br>Numero de registro: 0.00<br>,20.0
SISEC,SISEC,SISEC_GATO_PROG_VACACIONES,40.0,40.00,Sistema: SISEC<br>Tabla:  SISEC_GATO_PROG_VACACIONES<br>Numero de registro: 40.00<br>,26.32455532033676
SOI,SOI,SOI_TASA_IMP,3299.0,"3,299.00","Sistema: SOI<br>Tabla:  SOI_TASA_IMP<br>Numero de registro: 3,299.00<br>",77.43692192309751
MDC,MDC,SARF_ESTATALES,33.0,33.00,Sistema: MDC<br>Tabla:  SARF_ESTATALES<br>Numero de registro: 33.00<br>,25.74456264653803
FFON,FLUFON,CFE_D_LIQUIDACION,718694502.0,"718,694,502.00","Sistema: FFON<br>Tabla:  CFE_D_LIQUIDACION<br>Numero de registro: 718,694,502.00<br>",26828.478173891184
MECA,MECA,CAPF_PAISES,16.0,16.00,Sistema: MECA<br>Tabla:  CAPF_PAISES<br>Numero de registro: 16.00<br>,24.0
BNC,BNC,BNC_FORMAS_PAGO,12.0,12.00,Sistema: BNC<br>Tabla:  BNC_FORMAS_PAGO<br>Numero de registro: 12.00<br>,23.464101615137753
SIRAC,SIRAC,LC_LINEAS_FONDEO_INTER,1281.0,"1,281.00","Sistema: SIRAC<br>Tabla:  LC_LINEAS_FONDEO_INTER<br>Numero de registro: 1,281.00<br>",55.79106033634656
SIRAC,SIRAC,GA_MOVIMIENTOS_DESGLOSE,0.0,0.00,Sistema: SIRAC<br>Tabla:  GA_MOVIMIENTOS_DESGLOSE<br>Numero de registro: 0.00<br>,20.0
SIAF,NSIAF,SIAF_EFA_EDO_MOD_3A,2.0,2.00,Sistema: SIAF<br>Tabla:  SIAF_EFA_EDO_MOD_3A<br>Numero de registro: 2.00<br>,21.414213562373096
SIRAC,SIRAC,MI_DIRECCIONES,0.0,0.00,Sistema: SIRAC<br>Tabla:  MI_DIRECCIONES<br>Numero de registro: 0.00<br>,20.0
SIPE,SIPE,SIPE_CUENTAS,4.0,4.00,Sistema: SIPE<br>Tabla:  SIPE_CUENTAS<br>Numero de registro: 4.00<br>,22.0
SIAF,NSIAF,SIAF_CONCEPTOS_NOSI_TASAS,189.0,189.00,Sistema: SIAF<br>Tabla:  SIAF_CONCEPTOS_NOSI_TASAS<br>Numero de registro: 189.00<br>,33.74772708486752
IMRC,TROYA,AJ_INDUSTRIAC1,10.0,10.00,Sistema: IMRC<br>Tabla:  AJ_INDUSTRIAC1<br>Numero de registro: 10.00<br>,23.162277660168378
SISEC,SISEC,SISEC_INTERFACE_CUES_CUALI,4087.0,"4,087.00","Sistema: SISEC<br>Tabla:  SISEC_INTERFACE_CUES_CUALI<br>Numero de registro: 4,087.00<br>",83.92964883369844
SIRAC,SIRAC,PR_COMISION_X_PRESTAMO,0.0,0.00,Sistema: SIRAC<br>Tabla:  PR_COMISION_X_PRESTAMO<br>Numero de registro: 0.00<br>,20.0
SIMS,SIMS,SIMS_PORCENTAJE_PCE,615.0,615.00,Sistema: SIMS<br>Tabla:  SIMS_PORCENTAJE_PCE<br>Numero de registro: 615.00<br>,44.79919353527449
IMRC,TROYA,TADE,0.0,0.00,Sistema: IMRC<br>Tabla:  TADE<br>Numero de registro: 0.00<br>,20.0
SISEC,SISEC,DMRS_PROCESS_ENTITIES,0.0,0.00,Sistema: SISEC<br>Tabla:  DMRS_PROCESS_ENTITIES<br>Numero de registro: 0.00<br>,20.0
SIRAC,SIRAC,SP_ESTADO_SOLICITUD,0.0,0.00,Sistema: SIRAC<br>Tabla:  SP_ESTADO_SOLICITUD<br>Numero de registro: 0.00<br>,20.0
SIAF,NSIAF,SIAF_EFA_EDO_MOD_B,2.0,2.00,Sistema: SIAF<br>Tabla:  SIAF_EFA_EDO_MOD_B<br>Numero de registro: 2.00<br>,21.414213562373096
