,OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,AVG_COL_LEN,DATA_LENGTH,NUM_NULLS,NUM_DISTINCT,NUM_ROWS,SISTEMA
91,FLUFON,ADO_D_DOC_PROP,ADO_D_DOC_PROP,VARCHAR2,10.0,250,0.0,1.0,96678.0,FFON
92,FLUFON,ADO_D_FLUJO,SP_AFL_S,VARCHAR2,21.0,60,7.0,8.0,130.0,FFON
93,FLUFON,ADO_D_FLUJO,MOTIVO_AFL_I,NUMBER,3.0,22,0.0,2.0,130.0,FFON
94,FLUFON,ADO_D_FLUJO,CATALOGO_AFL_I,NUMBER,4.0,22,0.0,5.0,130.0,FFON
95,FLUFON,ADO_D_FLUJO,ADO_D_STATUS,NUMBER,4.0,22,0.0,25.0,130.0,FFON
96,FLUFON,ADO_D_FLUJO,ADO_C_DOCUMENTO,NUMBER,4.0,22,0.0,29.0,130.0,FFON
97,FLUFON,ADO_D_FLUJO,ADO_ADO_D_STATUS,NUMBER,4.0,22,0.0,32.0,130.0,FFON
98,FLUFON,ADO_D_FLUJO,ADO_ADO_C_DOCUMENTO,NUMBER,4.0,22,0.0,29.0,130.0,FFON
99,FLUFON,ADO_D_PERMISO,UPDATE_DOP_I,NUMBER,3.0,22,1.0,2.0,29310.0,FFON
100,FLUFON,ADO_D_PERMISO,STATE_DOP_I,NUMBER,3.0,22,1.0,2.0,29310.0,FFON
101,FLUFON,ADO_D_PERMISO,PRINT_DOP_I,NUMBER,3.0,22,1.0,2.0,29310.0,FFON
102,FLUFON,ADO_D_PERMISO,OWNER_DOP_I,NUMBER,3.0,22,1.0,2.0,29310.0,FFON
103,FLUFON,ADO_D_PERMISO,ORDEN_DOP_I,NUMBER,3.0,22,12118.0,14.0,29310.0,FFON
104,FLUFON,ADO_D_PERMISO,OPEN_DOP_I,NUMBER,3.0,22,1.0,2.0,29310.0,FFON
105,FLUFON,ADO_D_PERMISO,LIST_DOP_I,NUMBER,3.0,22,1.0,2.0,29310.0,FFON
106,FLUFON,ADO_D_PERMISO,DEL_DOP_I,NUMBER,2.0,22,12118.0,2.0,29310.0,FFON
107,FLUFON,ADO_D_PERMISO,CREATE_DOP_I,NUMBER,3.0,22,1.0,2.0,29310.0,FFON
108,FLUFON,ADO_D_PERMISO,ASE_C_USUARIO,NUMBER,4.0,22,0.0,853.0,29310.0,FFON
109,FLUFON,ADO_D_PERMISO,ADO_D_STATUS,NUMBER,4.0,22,0.0,47.0,29310.0,FFON
110,FLUFON,ADO_D_PERMISO,ADO_C_DOCUMENTO,NUMBER,4.0,22,0.0,32.0,29310.0,FFON
111,FLUFON,ADO_D_STATUS,UPDPERM_STA_S,VARCHAR2,18.0,250,32.0,6.0,143.0,FFON
112,FLUFON,ADO_D_STATUS,NOMBRE_STA_S,VARCHAR2,11.0,60,0.0,54.0,143.0,FFON
113,FLUFON,ADO_D_STATUS,DSG_Y_I,NUMBER,3.0,22,5.0,3.0,143.0,FFON
114,FLUFON,ADO_D_STATUS,DSG_X_I,NUMBER,4.0,22,5.0,29.0,143.0,FFON
115,FLUFON,ADO_D_STATUS,DSG_W_I,NUMBER,3.0,22,5.0,1.0,143.0,FFON
116,FLUFON,ADO_D_STATUS,DSG_H_I,NUMBER,3.0,22,5.0,2.0,143.0,FFON
117,FLUFON,ADO_D_STATUS,DESCRIPCION_STA_S,VARCHAR2,47.0,250,2.0,134.0,143.0,FFON
118,FLUFON,ADO_D_STATUS,ADO_D_STATUS,NUMBER,4.0,22,0.0,47.0,143.0,FFON
119,FLUFON,ADO_D_STATUS,ADO_C_DOCUMENTO,NUMBER,4.0,22,0.0,33.0,143.0,FFON
120,FLUFON,ADO_D_STATUS,ACTIVO_STA_I,NUMBER,3.0,22,2.0,1.0,143.0,FFON
121,FLUFON,ADO_M_DOC_SEL,ASE_C_USUARIO,NUMBER,4.0,22,0.0,5.0,46266.0,FFON
122,FLUFON,ADO_M_DOC_SEL,ADO_M_DOC,NUMBER,7.0,22,0.0,46266.0,46266.0,FFON
123,FLUFON,ASE_C_MENU,ORDEN_MNU_I,NUMBER,5.0,22,0.0,166.0,223.0,FFON
124,FLUFON,ASE_C_MENU,MODE_MNU_I,NUMBER,3.0,22,0.0,5.0,223.0,FFON
125,FLUFON,ASE_C_MENU,LIBRARY_MNU_S,VARCHAR2,13.0,60,17.0,8.0,223.0,FFON
126,FLUFON,ASE_C_MENU,IMAGE_MNU_I,NUMBER,4.0,22,0.0,44.0,223.0,FFON
127,FLUFON,ASE_C_MENU,HINT_MNU_S,VARCHAR2,20.0,60,83.0,114.0,223.0,FFON
128,FLUFON,ASE_C_MENU,FORM_MNU_S,VARCHAR2,18.0,255,17.0,98.0,223.0,FFON
129,FLUFON,ASE_C_MENU,DESCRIPCION_MNU_S,VARCHAR2,24.0,60,0.0,175.0,223.0,FFON
130,FLUFON,ASE_C_MENU,ASE_C_MENU,NUMBER,4.0,22,0.0,223.0,223.0,FFON
131,FLUFON,ASE_C_MENU,ASE_ASE_C_MENU,NUMBER,4.0,22,4.0,22.0,223.0,FFON
132,FLUFON,ASE_C_MENU,ARGUMENTO_MNU_S,VARCHAR2,8.0,120,87.0,107.0,223.0,FFON
133,FLUFON,ASE_C_USUARIO,USUARIO_USR_S,VARCHAR2,10.0,30,0.0,892.0,894.0,FFON
134,FLUFON,ASE_C_USUARIO,TIPO_USR_I,NUMBER,3.0,22,0.0,2.0,894.0,FFON
135,FLUFON,ASE_C_USUARIO,SUPERV_USR_I,NUMBER,2.0,22,119.0,2.0,894.0,FFON
136,FLUFON,ASE_C_USUARIO,SUPERVISA_USR_I,NUMBER,2.0,22,842.0,4.0,894.0,FFON
137,FLUFON,ASE_C_USUARIO,STATUS_USR_I,NUMBER,3.0,22,0.0,2.0,894.0,FFON
138,FLUFON,ASE_C_USUARIO,PATERNO_USR_S,VARCHAR2,8.0,20,40.0,425.0,894.0,FFON
139,FLUFON,ASE_C_USUARIO,ORDEN_USR_I,NUMBER,4.0,22,0.0,640.0,894.0,FFON
140,FLUFON,ASE_C_USUARIO,NOMBRE_USR_S,VARCHAR2,11.0,40,37.0,551.0,894.0,FFON
141,FLUFON,ASE_C_USUARIO,MATERNO_USR_S,VARCHAR2,8.0,20,40.0,414.0,894.0,FFON
142,FLUFON,ASE_C_USUARIO,DESCRIPCION_USR_S,VARCHAR2,10.0,250,0.0,873.0,894.0,FFON
143,FLUFON,ASE_C_USUARIO,CVESUP_USR_S,VARCHAR2,2.0,20,186.0,4.0,894.0,FFON
